PID,Day,Type,Question,ThreatStimuli,NeutralStimuli,Probe,ThreatPosition,ProbePosition,ProbeSelected,Response,ResponseTime,created_at
RR77812,0,Q&A,"what is your name?",None,None,None,None,None,None,RIFHT,None,"15-10-2020  06:06:05"
RR77812,0,Q&A,"what is your name?",None,None,None,None,None,None,RIFHT,None,"15-10-2020  06:06:05"
RR77812,0,Q&A,"what is your name?",None,None,None,None,None,None,RIFHT,None,"15-10-2020  06:06:05"
RR77812,0,Q&A,"what is your name?",None,None,None,None,None,None,RIFHT,None,"15-10-2020  06:06:05"
RR77812,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"15-10-2020  06:09:33"
RR77812,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"15-10-2020  06:09:33"
RR77812,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"15-10-2020  06:09:33"
RR77812,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"15-10-2020  06:09:33"
RR77812,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"15-10-2020  06:09:33"
RR77812,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"15-10-2020  06:09:33"
RR77812,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"15-10-2020  06:09:33"
RR77812,2,Q&A,"what is your plan for today??",None,None,None,None,None,None,nothing,None,"15-10-2020  06:09:33"
RR77812,5,Q&A,WORKING,None,None,None,None,None,None,Yes,None,"15-10-2020  06:46:32"
RR77812,5,Q&A,WORKING,None,None,None,None,None,None,Yes,None,"15-10-2020  06:46:32"
RR77812,5,Q&A,WORKING,None,None,None,None,None,None,Yes,None,"15-10-2020  06:46:32"
RR77812,5,Q&A,WORKING,None,None,None,None,None,None,Yes,None,"15-10-2020  06:46:32"
RR77812,5,Q&A,WORKING,None,None,None,None,None,None,Yes,None,"15-10-2020  06:46:32"
RR77812,5,Q&A,WORKING,None,None,None,None,None,None,Yes,None,"15-10-2020  06:46:32"
RR77812,5,Q&A,WORKING,None,None,None,None,None,None,Yes,None,"15-10-2020  06:46:32"
RR77812,5,Q&A,WORKING,None,None,None,None,None,None,Yes,None,"15-10-2020  06:46:32"
RR77812,5,Q&A,WORKING,None,None,None,None,None,None,Yes,None,"15-10-2020  06:46:32"
RR77812,5,Q&A,WORKING,None,None,None,None,None,None,Yes,None,"15-10-2020  06:46:32"
