PID,Day,Type,Question,ThreatStimuli,NeutralStimuli,Probe,ThreatPosition,ProbePosition,ProbeSelected,Response,ResponseTime,created_at
RR89218,1,Q&A,vbvbv,None,None,None,None,None,None,jhj,None,"20-10-2020  13:00:59"
RR89218,1,Q&A,vbvbv,None,None,None,None,None,None,jhj,None,"20-10-2020  13:00:59"
RR89218,1,Q&A,vbnvnbvn,None,None,None,None,None,None,Ydufig,None,"20-10-2020  13:00:59"
RR89218,1,Words,None,anger1,peace,E,top,bottom,F,Failure,5.444,"20-10-2020  13:00:59"
RR89218,2,Q&A,nbvnbvnbvnb,None,None,None,None,None,None,nbvbn,None,"20-10-2020  13:01:52"
RR89218,2,Q&A,yyyy,None,None,None,None,None,None,uyuyuy,None,"20-10-2020  13:01:52"
RR89218,2,Q&A,check,None,None,None,None,None,None,xcv,None,"20-10-2020  13:01:52"
RR89218,2,Q&A,vnbvnv,None,None,None,None,None,None,cnvbn,None,"20-10-2020  13:01:52"
RR89218,2,Q&A,"test ques",None,None,None,None,None,None,nvbnv,None,"20-10-2020  13:01:52"
RR89218,2,Q&A,yyyy,None,None,None,None,None,None,uyuyuy,None,"20-10-2020  13:01:52"
RR89218,2,Words,None,anger1,peace,E,top,bottom,E,Success,2.865,"20-10-2020  13:01:52"
RR89218,3,Q&A,nbvnbvnbvnb,None,None,None,None,None,None,nbvbn,None,"20-10-2020  13:03:06"
RR89218,3,Q&A,yyyy,None,None,None,None,None,None,uyuyuy,None,"20-10-2020  13:03:06"
RR89218,3,Q&A,check,None,None,None,None,None,None,xcv,None,"20-10-2020  13:03:06"
RR89218,3,Q&A,vnbvnv,None,None,None,None,None,None,cnvbn,None,"20-10-2020  13:03:06"
RR89218,3,Q&A,"test ques",None,None,None,None,None,None,nvbnv,None,"20-10-2020  13:03:06"
RR89218,3,Q&A,yyyy,None,None,None,None,None,None,uyuyuy,None,"20-10-2020  13:03:06"
RR89218,3,Words,None,anger1,peace,E,top,bottom,E,Success,1.763,"20-10-2020  13:03:06"
RR89218,17,Q&A,vbvbv,None,None,None,None,None,None,jhj,None,"20-10-2020  13:04:11"
RR89218,17,Q&A,vbvbv,None,None,None,None,None,None,jhj,None,"20-10-2020  13:04:11"
RR89218,17,Q&A,vbnvnbvn,None,None,None,None,None,None,Gccyf,None,"20-10-2020  13:04:11"
RR89218,17,Words,None,anger1,peace,E,top,bottom,E,Success,2.197,"20-10-2020  13:04:11"
RR89218,17,Q&A,"Are trees green?",None,None,None,None,None,None,yes,None,"20-10-2020  13:04:11"
